Barcode,Lon,Lat,Lon_Park,Lat_Park
1432402,-95.24062,29.59442,-95.25466437,29.59356634
1526301,-95.25523,29.60488,-95.25466437,29.59356634
1526302,-95.25523,29.60488,-95.25466437,29.59356634
1885702,-95.26494,29.60455,-95.25466437,29.59356634
1298701,-95.26325,29.608,-95.25466437,29.59356634
1399401,-95.26472,29.60642,-95.25466437,29.59356634
1571802,-95.24404,29.59826,-95.25466437,29.59356634
1666701,-95.2076,29.6021,-95.21749901,29.59976696
1629101,-95.19883,29.59619,-95.21749901,29.59976696
1654502,-95.22078,29.60655,-95.21749901,29.59976696
1536102,-95.21014,29.5934,-95.21749901,29.59976696
1436501,-95.20208,29.59095,-95.21749901,29.59976696
1970702,-95.19517,29.59078,-95.21749901,29.59976696
1836901,-95.19652,29.59092,-95.21749901,29.59976696
1454701,-95.19883,29.59619,-95.21749901,29.59976696
1605301,-95.19883,29.59619,-95.21749901,29.59976696
1480701,-95.20134,29.58549,-95.21749901,29.59976696
1702601,-95.22762,29.60408,-95.21749901,29.59976696
1845101,-95.22783,29.60331,-95.21749901,29.59976696
1573603,-95.22008,29.58816,-95.21749901,29.59976696
1836902,-95.19652,29.59092,-95.21749901,29.59976696
1702602,-95.22762,29.60408,-95.21749901,29.59976696
1695601,-95.22427,29.60468,-95.21749901,29.59976696
1721202,-95.21028,29.59587,-95.21749901,29.59976696
1543801,-95.2141,29.59893,-95.21749901,29.59976696
1523101,-95.21406,29.5913,-95.21749901,29.59976696
1573601,-95.22008,29.58816,-95.21749901,29.59976696
1503801,-95.22757,29.59901,-95.21749901,29.59976696
2021301,-95.20953,29.60122,-95.21749901,29.59976696
1693101,-95.19368,29.6052,-95.21749901,29.59976696
1443301,-95.19576,29.59024,-95.21749901,29.59976696
1459601,-95.21191,29.58823,-95.21749901,29.59976696
1605302,-95.19883,29.59619,-95.21749901,29.59976696
1423302,-95.19883,29.59619,-95.21749901,29.59976696
1971701,-95.21307,29.58988,-95.21749901,29.59976696
1409402,-95.19883,29.59619,-95.21749901,29.59976696
1706402,-95.22721,29.5965,-95.21749901,29.59976696
1693102,-95.19368,29.6052,-95.21749901,29.59976696
1523102,-95.21406,29.5913,-95.21749901,29.59976696
1398301,-95.21087,29.60024,-95.21749901,29.59976696
1575501,-95.1862,29.59785,-95.21749901,29.59976696
1548302,-95.20853,29.59491,-95.21749901,29.59976696
1540801,-95.22334,29.60442,-95.21749901,29.59976696
1629102,-95.19883,29.59619,-95.21749901,29.59976696
1721201,-95.21028,29.59587,-95.21749901,29.59976696
