Barcode,Lon,Lat,Lon_Park,Lat_Park
107,-95.2076,29.6021,-95.21749901,29.59976696
108,-95.19883,29.59619,-95.21749901,29.59976696
109,-95.22078,29.60655,-95.21749901,29.59976696
110,-95.21014,29.5934,-95.21749901,29.59976696
111,-95.20208,29.59095,-95.21749901,29.59976696
112,-95.19517,29.59078,-95.21749901,29.59976696
113,-95.19652,29.59092,-95.21749901,29.59976696
114,-95.19883,29.59619,-95.21749901,29.59976696
115,-95.19883,29.59619,-95.21749901,29.59976696
116,-95.20134,29.58549,-95.21749901,29.59976696
117,-95.22762,29.60408,-95.21749901,29.59976696
118,-95.22783,29.60331,-95.21749901,29.59976696
119,-95.22008,29.58816,-95.21749901,29.59976696
120,-95.19652,29.59092,-95.21749901,29.59976696
121,-95.22762,29.60408,-95.21749901,29.59976696
122,-95.22427,29.60468,-95.21749901,29.59976696
123,-95.21028,29.59587,-95.21749901,29.59976696
124,-95.2141,29.59893,-95.21749901,29.59976696
125,-95.21406,29.5913,-95.21749901,29.59976696
126,-95.22008,29.58816,-95.21749901,29.59976696
127,-95.22757,29.59901,-95.21749901,29.59976696
128,-95.20953,29.60122,-95.21749901,29.59976696
129,-95.19368,29.6052,-95.21749901,29.59976696
130,-95.19576,29.59024,-95.21749901,29.59976696
131,-95.21191,29.58823,-95.21749901,29.59976696
132,-95.19883,29.59619,-95.21749901,29.59976696
133,-95.19883,29.59619,-95.21749901,29.59976696
134,-95.21307,29.58988,-95.21749901,29.59976696
135,-95.19883,29.59619,-95.21749901,29.59976696
136,-95.22721,29.5965,-95.21749901,29.59976696
137,-95.19368,29.6052,-95.21749901,29.59976696
138,-95.21406,29.5913,-95.21749901,29.59976696
139,-95.21087,29.60024,-95.21749901,29.59976696
140,-95.1862,29.59785,-95.21749901,29.59976696
141,-95.20853,29.59491,-95.21749901,29.59976696
142,-95.22334,29.60442,-95.21749901,29.59976696
143,-95.19883,29.59619,-95.21749901,29.59976696
144,-95.21028,29.59587,-95.21749901,29.59976696
145,-95.20483,29.59398,-95.21749901,29.59976696
146,-95.21191,29.58823,-95.21749901,29.59976696
147,-95.21351,29.59837,-95.21749901,29.59976696
148,-95.21014,29.5934,-95.21749901,29.59976696
149,-95.20953,29.60122,-95.21749901,29.59976696
150,-95.2141,29.59893,-95.21749901,29.59976696
151,-95.2141,29.59893,-95.21749901,29.59976696
152,-95.19883,29.59619,-95.21749901,29.59976696
153,-95.19737,29.59573,-95.21749901,29.59976696
154,-95.20224,29.59352,-95.21749901,29.59976696
155,-95.19737,29.59573,-95.21749901,29.59976696
156,-95.19109,29.60602,-95.21749901,29.59976696
157,-95.20988,29.59228,-95.21749901,29.59976696
